issuerName,issuerTicker,txType,tradeValue,reportingGap,Description,pubDate,filingDate,txDate,value,gender,firstName,lastName,party,owner,chamber,price,filingURL,comment
Radius Global Infrastructure Inc,RADI:US,sell,15K–50K,37.0,Richard Blumenthal sold $32500 of Radius Global Infrastructure Inc (RADI:US) on 2022-08-01. He filed the trade after 37 days.,2022-09-07T22:15:08Z,2022-09-07,2022-08-01,,male,Richard,Blumenthal,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/paper/7f733a14-a6be-4cc1-af27-c4f059fedb3f/,
Radius Global Infrastructure Inc,RADI:US,sell,50K–100K,36.0,Richard Blumenthal sold $75000 of Radius Global Infrastructure Inc (RADI:US) on 2022-08-02. He filed the trade after 36 days.,2022-09-07T22:15:08Z,2022-09-07,2022-08-02,,male,Richard,Blumenthal,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/paper/7f733a14-a6be-4cc1-af27-c4f059fedb3f/,
Robinhood Markets Inc,HOOD:US,sell,50K–100K,27.0,Richard Blumenthal sold $75000 of Robinhood Markets Inc (HOOD:US) on 2022-08-11. He filed the trade after 27 days.,2022-09-07T22:15:08Z,2022-09-07,2022-08-11,,male,Richard,Blumenthal,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/paper/7f733a14-a6be-4cc1-af27-c4f059fedb3f/,
Wells Fargo \u0026 Co,WFC:US,buy,1K–15K,20.0,Mitch McConnell bought $8000 of Wells Fargo & Co (WFC:US) on 2022-09-06. He filed the trade after 20 days.,2022-09-26T18:15:09Z,2022-09-26,2022-09-06,,male,Addison,McConnell,republican,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/58bcf2b9-00ff-43aa-a1f5-e8655290b69b/,Dividend Reinvestment
iShares 7-10 Year Treasury Bond ETF,IEF:US,buy,1K–15K,10.0,John Boozman bought $8000 of iShares 7-10 Year Treasury Bond ETF (IEF:US) on 2022-09-27. He filed the trade after 10 days.,2022-10-07T20:15:09Z,2022-10-07,2022-09-27,,male,John,Boozman,republican,not-disclosed,senate,,https://efdsearch.senate.gov/search/view/paper/5d1db106-16dc-4cfa-bbdd-bca6f03dd5bd/,
Artivion Inc,AORT:US,buy,50K–100K,24.0,Tina Smith bought $75000 of Artivion Inc (AORT:US) on 2022-09-23. She filed the trade after 24 days.,2022-10-17T16:15:08Z,2022-10-17,2022-09-23,,female,Christine,Smith,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/27166ff1-200c-49ab-a4cf-52c6d5fb235a/,
MORE RETAIL PVT LTD,,buy,1K–15K,14.0,Michael Bennet bought $8000 of MORE RETAIL PVT LTD on 2022-10-04. He filed the trade after 14 days.,2022-10-18T14:15:09Z,2022-10-18,2022-10-04,,male,Michael,Bennet,democrat,self,senate,,https://efdsearch.senate.gov/search/view/ptr/3d1b3c85-7b41-4183-89d6-aec3600db2a1/,Underlying asset of Madeira Capital Investments Limited
CVS Health Corp,CVS:US,buy,1K–15K,17.0,Tom Carper bought $8000 of CVS Health Corp (CVS:US) on 2022-10-17. He filed the trade after 17 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-17,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
Taiwan Semiconductor Manufacturing Co Ltd,TSM:US,buy,1K–15K,17.0,Tom Carper bought $8000 of Taiwan Semiconductor Manufacturing Co Ltd (TSM:US) on 2022-10-17. He filed the trade after 17 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-17,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
Medical Properties Trust Inc,MPW:US,buy,1K–15K,17.0,Tom Carper bought $8000 of Medical Properties Trust Inc (MPW:US) on 2022-10-17. He filed the trade after 17 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-17,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
Pacer Funds Trust - Pacer Benchmark Data \u0026 Infrastructure Real estate SCTR ETF,SRVR:US,sell,1K–15K,17.0,Tom Carper sold $8000 of Pacer Funds Trust - Pacer Benchmark Data & Infrastructure Real estate SCTR ETF (SRVR:US) on 2022-10-17. He filed the trade after 17 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-17,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
ProShares Short QQQ,PSQ:US,sell,1K–15K,24.0,Tom Carper sold $8000 of ProShares Short QQQ (PSQ:US) on 2022-10-10. He filed the trade after 24 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-10,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
ProShares Short QQQ,PSQ:US,sell,1K–15K,29.0,Tom Carper sold $8000 of ProShares Short QQQ (PSQ:US) on 2022-10-05. He filed the trade after 29 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-05,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
ProShares Short QQQ,PSQ:US,sell,1K–15K,29.0,Tom Carper sold $8000 of ProShares Short QQQ (PSQ:US) on 2022-10-05. He filed the trade after 29 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-05,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
ProShares Short QQQ,PSQ:US,sell,15K–50K,29.0,Tom Carper sold $32500 of ProShares Short QQQ (PSQ:US) on 2022-10-05. He filed the trade after 29 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-05,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,
JPMorgan Chase \u0026 Co,JPM:US,sell,1K–15K,30.0,Tom Carper sold $8000 of JPMorgan Chase & Co (JPM:US) on 2022-10-04. He filed the trade after 30 days.,2022-11-03T17:15:08Z,2022-11-03,2022-10-04,,male,Thomas,Carper,democrat,spouse,senate,,https://efdsearch.senate.gov/search/view/ptr/de4faced-abf6-488c-b122-7763a37b5964/,Rate/Coupon: 10% Matures: 04/01/2024
Exxon Mobil Corp,XOM:US,sell,15K–50K,35.0,Tommy Tuberville sold $32500 of Exxon Mobil Corp (XOM:US) on 2022-10-06. He filed the trade after 35 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-06,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,Option Type: Short Sale Strike price: $100.00 Expires: 06/16/2023
Chevron Corp,CVX:US,sell,15K–50K,35.0,Tommy Tuberville sold $32500 of Chevron Corp (CVX:US) on 2022-10-06. He filed the trade after 35 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-06,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,Option Type: Short Sale Strike price: $155.00 Expires: 06/16/2023
RH,RH:US,buy,1K–15K,35.0,Tommy Tuberville bought $8000 of RH (RH:US) on 2022-10-06. He filed the trade after 35 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-06,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Exxon Mobil Corp,XOM:US,buy,50K–100K,35.0,Tommy Tuberville bought $75000 of Exxon Mobil Corp (XOM:US) on 2022-10-06. He filed the trade after 35 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-06,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Cisco Systems Inc,CSCO:US,buy,1K–15K,35.0,Tommy Tuberville bought $8000 of Cisco Systems Inc (CSCO:US) on 2022-10-06. He filed the trade after 35 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-06,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Resmed Inc,RMD:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Resmed Inc (RMD:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Northrop Grumman Corp,NOC:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Northrop Grumman Corp (NOC:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
NVIDIA Corporation,NVDA:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of NVIDIA Corporation (NVDA:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Masimo Corp,MASI:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Masimo Corp (MASI:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Honeywell International Inc,HON:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Honeywell International Inc (HON:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Gartner Inc,IT:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Gartner Inc (IT:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Garmin Ltd,GRMN:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Garmin Ltd (GRMN:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Church \u0026 Dwight Co Inc,CHD:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Church & Dwight Co Inc (CHD:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Applied Materials Inc,AMAT:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Applied Materials Inc (AMAT:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Align Technology Inc,ALGN:US,sell,1K–15K,36.0,Tommy Tuberville sold $8000 of Align Technology Inc (ALGN:US) on 2022-10-05. He filed the trade after 36 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-05,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,
Marathon Oil Corp,MRO:US,sell,1K–15K,37.0,Tommy Tuberville sold $8000 of Marathon Oil Corp (MRO:US) on 2022-10-04. He filed the trade after 37 days.,2022-11-10T20:15:10Z,2022-11-10,2022-10-04,,male,Thomas,Tuberville,republican,joint,senate,,https://efdsearch.senate.gov/search/view/ptr/bdd81552-894d-4dc5-b1f3-9fe349529bf8/,Option Type: Short Sale Strike price: $23.00 Expires: 04/21/2023
